ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Xmin,Xmax,Ymin,Ymax,Addr_type,ARC_SingleLine,datum_čas_odtahu,místo_nařízeného_odtahu,důvod_nařízeného_odtahu,ulice,X,Y
11,ul_co_zn,M,100,A,Jiráskova 59,0,0,0,0,Address,Jiráskova 59,2013-06-02 09:38:00.000,"Jiráskova 59, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Jiráskova 59,16.5950494831495,49.2041996046699
12,ul_co_zn,M,100,A,Stojanova 14,0,0,0,0,Address,Stojanova 14,2013-06-02 12:00:00.000,"Stojanova 14, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Stojanova 14,16.5919519131844,49.2000066749999
13,ul_co_zn,M,100,A,Mendlovo náměstí 4,0,0,0,0,Address,Mendlovo náměstí 4,2013-06-02 13:55:00.000,"Mendlovo náměstí 4, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Mendlovo náměstí 4,16.5958719663467,49.1911210827262
14,ul_co_zn,M,100,A,Mendlovo náměstí 4,0,0,0,0,Address,Mendlovo náměstí 4,2013-06-02 14:28:00.000,"Mendlovo náměstí 4, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Mendlovo náměstí 4,16.5958719663467,49.1911210827262
15,ul_co_zn,M,100,A,Pekařská 18,0,0,0,0,Address,Pekařská 18,2013-06-02 15:40:00.000,"Pekařská 18, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Pekařská 18,16.602318295054,49.1922673449524
16,ul_co_zn,M,100,A,Stojanova 14,0,0,0,0,Address,Stojanova 14,2013-06-02 16:35:00.000,"Stojanova 14, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Stojanova 14,16.5919519131844,49.2000066749999
17,ul_co_zn,M,100,A,Hrnčířská 20,0,0,0,0,Address,Hrnčířská 20,2013-06-02 23:40:00.000,"Hrnčířská 20-x Tučkova, Brno-Ponava","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hrnčířská 20,16.5966064140512,49.2090988185995
18,ul_co_zn,M,100,A,Nerudova 11,0,0,0,0,Address,Nerudova 11,2013-06-03 00:10:00.000,"Nerudova 11, Brno","§ 25 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Nerudova 11,16.5952000928341,49.2063412308477
19,ul_co_zn,M,100,A,Merhautova 113,0,0,0,0,Address,Merhautova 113,2013-06-03 06:45:00.000,"Merhautova 113, Brno-Černá Pole","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Merhautova 113,16.6242365876439,49.2115194849165
20,ul_co_zn,M,100,A,Hybešova 43,0,0,0,0,Address,Hybešova 43,2013-06-03 07:40:00.000,"Hybešova 43, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 43,16.6015089722866,49.1892022842428
21,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 08:35:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
22,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 08:40:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
23,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 08:45:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
24,ul_co_zn,M,100,A,Hybešova 51,0,0,0,0,Address,Hybešova 51,2013-06-03 09:20:00.000,"Hybešova 51, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 51,16.6003475236951,49.18933879873
25,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 09:25:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
26,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 09:30:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
27,ul_co_zn,M,100,A,Hybešova 53,0,0,0,0,Address,Hybešova 53,2013-06-03 11:00:00.000,"Hybešova 53, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 53,16.5999691179971,49.1893823297993
28,ul_co_zn,M,100,A,Hybešova 36,0,0,0,0,Address,Hybešova 36,2013-06-03 11:15:00.000,"Hybešova 36-naproti, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 36,16.601558500115,49.1895576506631
29,ul_co_zn,M,100,A,Hybešova 43,0,0,0,0,Address,Hybešova 43,2013-06-03 11:30:00.000,"Hybešova 43, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 43,16.6015089722866,49.1892022842428
30,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 13:50:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
31,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 14:10:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
32,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-03 14:15:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
33,ul_co_zn,M,100,A,Hybešova 17,0,0,0,0,Address,Hybešova 17,2013-06-03 15:20:00.000,"Hybešova 17, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 17,16.6054540295705,49.1890478441082
34,ulice,M,100,A,Vranovská,0,0,0,0,Address,Vranovská,2013-06-03 15:25:00.000,"Vranovská-70 naproti, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Vranovská,16.6265767719348,49.2062980748155
35,ul_co_zn,M,100,A,Mendlovo náměstí 4,0,0,0,0,Address,Mendlovo náměstí 4,2013-06-03 15:50:00.000,"Mendlovo náměstí 4, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Mendlovo náměstí 4,16.5958719663467,49.1911210827262
36,ul_co_zn,M,100,A,Česká 23,0,0,0,0,Address,Česká 23,2013-06-03 16:35:00.000,"Česká 23, Brno","§ 27 odst. 1 písm. o) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Česká 23,16.6055659801102,49.1965530113257
37,ul_co_zn,M,100,A,Vodní 32,0,0,0,0,Address,Vodní 32,2013-06-03 17:05:00.000,"Vodní 32, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Vodní 32,16.6029370491556,49.190063884275
38,ul_co_zn,M,100,A,Smetanova 20,0,0,0,0,Address,Smetanova 20,2013-06-03 21:50:00.000,"Smetanova 20, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Smetanova 20,16.6051456486641,49.2029695078638
39,ul_co_zn,M,100,A,Vodní 32,0,0,0,0,Address,Vodní 32,2013-06-04 07:40:00.000,"Vodní 32, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Vodní 32,16.6029370491556,49.190063884275
40,ul_co_zn,M,100,A,Hybešova 51,0,0,0,0,Address,Hybešova 51,2013-06-04 08:30:00.000,"Hybešova 51, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 51,16.6003475236951,49.18933879873
41,ul_co_zn,M,100,A,Hybešova 51,0,0,0,0,Address,Hybešova 51,2013-06-04 08:56:00.000,"Hybešova 51, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 51,16.6003475236951,49.18933879873
42,ul_co_zn,M,100,A,Hybešova 51,0,0,0,0,Address,Hybešova 51,2013-06-04 09:00:00.000,"Hybešova 51, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 51,16.6003475236951,49.18933879873
43,ul_co_zn,M,100,A,Hybešova 43,0,0,0,0,Address,Hybešova 43,2013-06-04 09:00:00.000,"Hybešova 43, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 43,16.6015089722866,49.1892022842428
44,ul_co_zn,M,100,A,Hybešova 49,0,0,0,0,Address,Hybešova 49,2013-06-04 09:25:00.000,"Hybešova 49, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 49,16.6000233747,49.1886759570467
45,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-04 09:27:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
46,ul_co_zn,M,100,A,Hybešova 45,0,0,0,0,Address,Hybešova 45,2013-06-04 09:30:00.000,"Hybešova 45, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 45,16.600932204031,49.1892720903075
47,ul_co_zn,M,100,A,Rooseveltova 7,0,0,0,0,Address,Rooseveltova 7,2013-06-04 10:55:00.000,"Rooseveltova 7, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Rooseveltova 7,16.6110420538332,49.1982347849453
48,ul_co_zn,M,100,A,Václavská 2,0,0,0,0,Address,Václavská 2,2013-06-04 11:05:00.000,"Václavská 2-naproti, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Václavská 2,16.5981035014635,49.1886912599962
49,ul_co,M,100,A,Zahradnická 1,0,0,0,0,Address,Zahradnická 1,2013-06-04 11:10:00.000,"Zahradnická 1, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Zahradnická 1,16.5982470176076,49.1879653499498
50,ulice,M,100,A,Mendlovo náměstí,0,0,0,0,Address,Mendlovo náměstí,2013-06-04 12:20:00.000,"Mendlovo náměstí-vjezd do nemocnice, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Mendlovo náměstí,16.594198476667,49.1898860097006
51,ul_co_zn,M,100,A,Křídlovická 16,0,0,0,0,Address,Křídlovická 16,2013-06-04 13:35:00.000,"Křídlovická 16-naproti, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Křídlovická 16,16.5977967044514,49.1880355190066
52,ul_co_zn,M,100,A,Jezuitská 4,0,0,0,0,Address,Jezuitská 4,2013-06-04 13:45:00.000,"Jezuitská 4, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Jezuitská 4,16.6125885683497,49.19740960425
53,ul_co_zn,M,100,A,Hybešova 61,0,0,0,0,Address,Hybešova 61,2013-06-04 14:20:00.000,"Hybešova 61, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 61,16.5991117282196,49.1888257459065
54,ul_co_zn,M,100,A,Hybešova 61,0,0,0,0,Address,Hybešova 61,2013-06-04 15:20:00.000,"Hybešova 61, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 61,16.5991117282196,49.1888257459065
55,ul_co_zn,M,100,A,Hybešova 55,0,0,0,0,Address,Hybešova 55,2013-06-04 16:25:00.000,"Hybešova 55, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hybešova 55,16.5997873508041,49.1892779888059
56,ul_co_zn,M,100,A,Obilní trh 11,0,0,0,0,Address,Obilní trh 11,2013-06-04 16:45:00.000,"Obilní trh 11, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Obilní trh 11,16.5969075524956,49.198917657871
57,ul_co,M,100,A,Zahradnická 1,0,0,0,0,Address,Zahradnická 1,2013-06-04 17:05:00.000,"Zahradnická 1, Brno","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Zahradnická 1,16.5982470176076,49.1879653499498
58,ul_co_zn,M,100,A,Sobotkova 34,0,0,0,0,Address,Sobotkova 34,2013-06-04 17:13:00.000,"Sobotkova 34, Brno-Štýřice","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Sobotkova 34,16.5982587103846,49.181986633624
59,ul_co_zn,M,100,A,Špitálka 9,0,0,0,0,Address,Špitálka 9,2013-06-04 19:20:00.000,"Špitálka 9, Brno-Zábrdovice","§ 25 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Špitálka 9,16.6239204346418,49.1967734407057
60,ul_co_zn,M,100,A,Vranovská 65,0,0,0,0,Address,Vranovská 65,2013-06-04 21:50:00.000,"Vranovská 65, Brno-Husovice","§ 27 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. k) zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Vranovská 65,16.6280137181888,49.2093580154492
